Households,15 to 24 years,25 to 44 years,45 to 64 years,65 years and over,state,year
53320,31927,58508,62583,40952,Tennessee,2019
61874,32170,65252,74147,45521,Texas,2019
71621,39030,75148,89352,53720,Utah,2019
61973,33216,69923,73722,45746,Vermont,2019
74222,36933,79860,90176,53323,Virginia,2019
73775,41147,81992,89139,52100,Washington,2019
46711,25329,54660,54146,37240,West Virginia,2019
61747,33889,69983,76098,42486,Wisconsin,2019
64049,31786,73705,77316,45227,Wyoming,2019
20539,6614,22684,24247,17450,Puerto Rico,2019
52035,25255,56666,62633,40419,Alabama,2020
77790,45806,82116,93859,61223,Alaska,2020
61529,36852,67184,73647,48964,Arizona,2020
49475,30278,54906,57648,38417,Arkansas,2020
78672,41045,84076,92828,57034,California,2020
75231,39484,81237,90347,54544,Colorado,2020
79855,41337,83465,99541,57408,Connecticut,2020
69110,34130,71552,83619,56135,Delaware,2020
90842,44256,105346,99304,59428,District of Columbia,2020
57703,33820,62440,68016,46182,Florida,2020
61224,33271,64797,73645,45171,Georgia,2020
83173,45684,84603,97101,71086,Hawaii,2020
58915,33344,65302,69677,45216,Idaho,2020
68428,32544,75867,83485,48066,Illinois,2020
58235,31485,64341,71556,43251,Indiana,2020
61836,35662,70785,76234,44441,Iowa,2020
61091,34184,67765,74733,45777,Kansas,2020
52238,30975,60629,61430,39202,Kentucky,2020
50800,27228,57317,59260,39523,Louisiana,2020
59489,38581,69747,70803,43065,Maine,2020
87063,42903,90255,105895,62017,Maryland,2020
84385,44222,96311,103973,52973,Massachusetts,2020
59234,32488,65769,72267,45142,Michigan,2020
73382,40813,83759,90158,49601,Minnesota,2020
46511,25854,50688,54159,36653,Mississippi,2020
57290,31485,65496,68158,42839,Missouri,2020
56539,30779,65365,66189,44118,Montana,2020
63015,35184,70839,76594,46268,Nebraska,2020
62043,39384,64927,72677,49276,Nevada,2020
77923,45888,86516,94746,53391,New Hampshire,2020
85245,40289,92514,104297,57159,New Jersey,2020
51243,28881,55218,59285,42947,New Mexico,2020
71117,36514,81159,84446,48539,New York,2020
56642,32919,61872,67560,42739,North Carolina,2020
65315,38725,74093,81860,45849,North Dakota,2020
58116,32336,64709,70764,43386,Ohio,2020
53840,31349,59718,63878,43658,Oklahoma,2020
65667,35884,73810,78147,49708,Oregon,2020
63627,32905,73230,78215,44143,Pennsylvania,2020
70305,31344,74724,85936,47050,Rhode Island,2020
54864,30987,60452,64299,43822,South Carolina,2020
59896,34766,68132,71973,44644,South Dakota,2020
54833,33990,60434,64914,42047,Tennessee,2020
63826,33040,67635,76623,47004,Texas,2020
74197,40500,78035,92923,55560,Utah,2020
63477,34160,73502,75100,47140,Vermont,2020
76398,38463,82453,93370,54826,Virginia,2020
77006,42712,85782,93563,54055,Washington,2020
48037,26541,56539,56048,38235,West Virginia,2020
63293,35550,71783,77690,44123,Wisconsin,2020
65304,31642,75858,78584,47223,Wyoming,2020
21058,7256,23126,25019,17905,Puerto Rico,2020
54943,27050,59945,66253,42673,Alabama,2021
80287,44078,86218,95393,62935,Alaska,2021
65913,39880,72443,79030,52250,Arizona,2021
52123,31919,58410,60778,40259,Arkansas,2021
84097,44205,90138,98785,60832,California,2021
80184,43365,87239,96439,58270,Colorado,2021
83572,42038,87411,104155,60256,Connecticut,2021
72724,36302,74893,86798,60631,Delaware,2021
93547,46853,109135,97226,64232,District of Columbia,2021
61777,36500,66433,72740,49257,Florida,2021
65030,36088,68527,78375,47881,Georgia,2021
88005,50606,89827,102150,75602,Hawaii,2021
63377,37926,70146,74721,48649,Idaho,2021
72563,34424,80059,87986,51237,Illinois,2021
61944,32864,68146,75767,45864,Indiana,2021
